Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume,Ticker
Ticker,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,
Date,,,,,,,,,,,
2021-01-04,126.54421997070312,210.42311096191406,130.65120801377864,215.55585106457548,123.95290271141998,207.6392459234173,130.56320464420665,215.1015393465035,143301900,37130100,AAPL
2021-01-05,128.10877990722656,210.62606811523438,128.82262480989533,211.2253813384584,125.58591218267613,208.4995113458299,126.03573205393475,210.00743315050906,97664900,23823000,AAPL
2021-01-06,123.79644775390625,205.16468811035156,128.14790719971865,209.26315409193546,123.58131844938153,204.86503886453832,124.89164809492219,205.08735689378338,155088000,35930700,AAPL
2021-01-07,128.02078247070312,211.00308227539062,128.71506612744008,212.01803434435266,125.02854837897873,206.57598385928867,125.51747590823786,206.89495488864898,109578200,27694500,AAPL
2021-01-04,126.54421997070312,210.42311096191406,130.65120801377864,215.55585106457548,123.95290271141998,207.6392459234173,130.56320464420665,215.1015393465035,143301900,37130100,MSFT
2021-01-05,128.10877990722656,210.62606811523438,128.82262480989533,211.2253813384584,125.58591218267613,208.4995113458299,126.03573205393475,210.00743315050906,97664900,23823000,MSFT
2021-01-06,123.79644775390625,205.16468811035156,128.14790719971865,209.26315409193546,123.58131844938153,204.86503886453832,124.89164809492219,205.08735689378338,155088000,35930700,MSFT
2021-01-07,128.02078247070312,211.00308227539062,128.71506612744008,212.01803434435266,125.02854837897873,206.57598385928867,125.51747590823786,206.89495488864898,109578200,27694500,MSFT
